"horizon","forecasted_return","forecasted_sigma"
1,0.000745363710795164,0.01026767168059
2,0.000745363710795164,0.0107235984445149
3,0.000745363710795164,0.0111232088546873
4,0.000745363710795164,0.0114756041565291
5,0.000745363710795164,0.0117878754279859
6,0.000745363710795164,0.0120656832644481
7,0.000745363710795164,0.0123136349604526
8,0.000745363710795164,0.0125355402366517
9,0.000745363710795164,0.012734590649288
10,0.000745363710795164,0.0129134891432283
